"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\ReactProjects\EcoFarm_FE\src\components\features\navbar\DropdownUser.tsx", "TypeScript JSX", -16, 0, 23, 0, 7
"d:\ReactProjects\EcoFarm_FE\src\config\apis\account\index.ts", "TypeScript", 0, 6, 0, 1, 7
"d:\ReactProjects\EcoFarm_FE\src\config\apis\enterprise\index.ts", "TypeScript", 0, 7, 0, 1, 8
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\enterprise\index.ts", "TypeScript", 0, 21, 0, 4, 25
"d:\ReactProjects\EcoFarm_FE\src\config\reducers\index.ts", "TypeScript", 0, 2, 0, 0, 2
"d:\ReactProjects\EcoFarm_FE\src\config\schema\account.ts", "TypeScript", 0, 11, 1, 3, 15
"d:\ReactProjects\EcoFarm_FE\src\config\schema\product.ts", "TypeScript", 0, -1, 1, 0, 0
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\accounts\useChangePassword.tsx", "TypeScript JSX", 32, 0, 0, 1, 33
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\activities\useCreateActivity.tsx", "TypeScript JSX", 1, 0, 0, 0, 1
"d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\orders\useCreateOrder.tsx", "TypeScript JSX", 1, 0, 0, 0, 1
"d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchAddresses.tsx", "TypeScript JSX", 0, 0, 1, 0, 1
"d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchEnterprises.tsx", "TypeScript JSX", 21, 0, 0, 4, 25
"d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchPackage.tsx", "TypeScript JSX", -1, 0, 1, 0, 0
"d:\ReactProjects\EcoFarm_FE\src\layouts\seller\header.tsx", "TypeScript JSX", 0, 0, 0, 2, 2
"d:\ReactProjects\EcoFarm_FE\src\models\enterprise.model.ts", "TypeScript", 0, 9, 0, 2, 11
"d:\ReactProjects\EcoFarm_FE\src\pages\cart\index.tsx", "TypeScript JSX", 5, 0, 0, 0, 5
"d:\ReactProjects\EcoFarm_FE\src\pages\enterprise\[enterpriseId].tsx", "TypeScript JSX", 0, 0, 0, -1, -1
"d:\ReactProjects\EcoFarm_FE\src\pages\packages\[packageId]\index.tsx", "TypeScript JSX", 5, 0, 0, 1, 6
"d:\ReactProjects\EcoFarm_FE\src\pages\packages\index.tsx", "TypeScript JSX", 16, 0, 3, 0, 19
"d:\ReactProjects\EcoFarm_FE\src\pages\packages\update\[packageId].tsx", "TypeScript JSX", 0, 0, 0, -1, -1
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\orders\index.tsx", "TypeScript JSX", 5, 0, 1, 0, 6
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\packages\[packageId]\index.tsx", "TypeScript JSX", 7, 0, 0, -1, 6
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\packages\[packageId]\update\index.tsx", "TypeScript JSX", -2, 0, 2, 0, 0
"d:\ReactProjects\EcoFarm_FE\src\pages\seller\products\[productId]\index.tsx", "TypeScript JSX", 7, 0, 0, 1, 8
"d:\ReactProjects\EcoFarm_FE\src\pages\test\components\BubbleChat.tsx", "TypeScript JSX", -42, 0, -1, -9, -52
"d:\ReactProjects\EcoFarm_FE\src\pages\user\profile\addresses.tsx", "TypeScript JSX", 19, 0, 0, -1, 18
"d:\ReactProjects\EcoFarm_FE\src\pages\user\profile\index.tsx", "TypeScript JSX", 126, 0, 8, 5, 139
"d:\ReactProjects\EcoFarm_FE\src\utils\constants\selectOption.ts", "TypeScript", 0, -15, 15, 0, 0
"Total", "-", 184, 40, 55, 12, 291
