Date : 2024-01-08 02:31:22
Directory : d:\ReactProjects\EcoFarm_FE
Total : 177 files,  20863 codes, 939 comments, 1537 blanks, all 23339 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         89 |      6,438 |        772 |        386 |      7,596 |
| YAML               |          2 |      6,424 |          0 |        812 |      7,236 |
| XML                |          2 |      5,881 |          1 |         46 |      5,928 |
| TypeScript         |         59 |      1,591 |         76 |        229 |      1,896 |
| JSON               |         15 |        312 |          0 |         15 |        327 |
| JavaScript         |          7 |        160 |         86 |         40 |        286 |
| JSON with Comments |          1 |         37 |          4 |          3 |         44 |
| Markdown           |          1 |         15 |          0 |          4 |         19 |
| CSS                |          1 |          5 |          0 |          2 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        177 |     20,863 |        939 |      1,537 |     23,339 |
| . (Files)                                                                            |         12 |      6,801 |         69 |        858 |      7,728 |
| public                                                                               |         16 |      6,105 |          1 |         60 |      6,166 |
| public\assets                                                                        |          2 |      5,881 |          1 |         46 |      5,928 |
| public\assets\brands                                                                 |          1 |         26 |          0 |          1 |         27 |
| public\assets\icons                                                                  |          1 |      5,855 |          1 |         45 |      5,901 |
| public\locales                                                                       |         14 |        224 |          0 |         14 |        238 |
| public\locales\en                                                                    |          7 |        112 |          0 |          7 |        119 |
| public\locales\vi                                                                    |          7 |        112 |          0 |          7 |        119 |
| src                                                                                  |        149 |      7,957 |        869 |        619 |      9,445 |
| src (Files)                                                                          |          3 |         91 |         26 |         13 |        130 |
| src\@types                                                                           |          3 |        122 |          1 |          4 |        127 |
| src\components                                                                       |         20 |        753 |         85 |         66 |        904 |
| src\components\features                                                              |          3 |        142 |         42 |          6 |        190 |
| src\components\features\navbar                                                       |          3 |        142 |         42 |          6 |        190 |
| src\components\providers                                                             |          6 |        154 |         10 |         14 |        178 |
| src\components\ui                                                                    |         11 |        457 |         33 |         46 |        536 |
| src\components\ui\calendar                                                           |          1 |         81 |          0 |          4 |         85 |
| src\components\ui\datepicker                                                         |          1 |         26 |          0 |          3 |         29 |
| src\components\ui\dropdown                                                           |          1 |         18 |          0 |          3 |         21 |
| src\components\ui\form                                                               |          1 |        180 |          0 |         14 |        194 |
| src\components\ui\overlay                                                            |          1 |         12 |          0 |          2 |         14 |
| src\components\ui\personalInfo                                                       |          1 |         38 |         30 |          5 |         73 |
| src\components\ui\popover                                                            |          1 |         15 |          0 |          3 |         18 |
| src\components\ui\ratings                                                            |          1 |         23 |          0 |          2 |         25 |
| src\components\ui\switch                                                             |          2 |         57 |          3 |          8 |         68 |
| src\components\ui\texts                                                              |          1 |          7 |          0 |          2 |          9 |
| src\config                                                                           |         32 |        744 |         50 |        130 |        924 |
| src\config\apis                                                                      |         11 |        178 |          5 |         41 |        224 |
| src\config\apis\account                                                              |          1 |         17 |          0 |          4 |         21 |
| src\config\apis\activity                                                             |          1 |         13 |          0 |          2 |         15 |
| src\config\apis\address                                                              |          1 |         21 |          0 |          4 |         25 |
| src\config\apis\authentication                                                       |          1 |         28 |          0 |          5 |         33 |
| src\config\apis\cart                                                                 |          1 |         13 |          0 |          3 |         16 |
| src\config\apis\enterprise                                                           |          1 |          7 |          0 |          1 |          8 |
| src\config\apis\orders                                                               |          1 |         15 |          0 |          3 |         18 |
| src\config\apis\packageReviews                                                       |          1 |         13 |          0 |          2 |         15 |
| src\config\apis\packages                                                             |          1 |         32 |          5 |         12 |         49 |
| src\config\apis\products                                                             |          1 |         13 |          0 |          2 |         15 |
| src\config\apis\user                                                                 |          1 |          6 |          0 |          3 |          9 |
| src\config\lib                                                                       |          4 |        124 |         18 |         22 |        164 |
| src\config\reducers                                                                  |         11 |        201 |          9 |         40 |        250 |
| src\config\reducers (Files)                                                          |          1 |         22 |          1 |          3 |         26 |
| src\config\reducers\activity                                                         |          1 |         21 |          0 |          4 |         25 |
| src\config\reducers\address                                                          |          1 |         19 |          0 |          4 |         23 |
| src\config\reducers\auth                                                             |          1 |         14 |          0 |          4 |         18 |
